Date,Open,High,Low,Close,Adj Close,Volume
2012-12-01,11.560000,13.080000,11.030000,12.950000,9.884076,1202835100
2013-01-01,13.230000,14.300000,12.670000,12.950000,9.884076,1270969800
2013-02-01,13.100000,13.310000,12.100000,12.610000,9.695443,643595600
2013-03-01,12.560000,13.470000,12.380000,13.150000,10.110636,648764200
2013-04-01,13.010000,13.760000,12.150000,13.710000,10.541202,802194900
2013-05-01,13.640000,16.040001,13.350000,15.680000,12.055876,998950500
2013-06-01,15.930000,16.090000,14.300000,15.470000,11.981804,840682200
2013-07-01,15.610000,17.680000,15.560000,16.879999,13.073880,857103700
2013-08-01,17.040001,17.500000,15.710000,16.190001,12.613308,738452700
2013-09-01,16.420000,17.770000,16.209999,16.870001,13.143084,771336600
2013-10-01,16.930000,18.020000,16.350000,17.110001,13.330063,860633500
2013-11-01,17.240000,17.240000,16.530001,17.080000,13.382684,672392400
2013-12-01,17.120001,17.200001,15.100000,15.430000,12.089862,1037390500
2014-01-01,15.420000,16.780001,14.900000,14.960000,11.721601,1003488000
2014-02-01,15.000000,15.490000,14.400000,15.390000,12.155173,712696400
2014-03-01,15.200000,15.830000,15.030000,15.600000,12.321033,617354600
2014-04-01,15.670000,16.490000,15.530000,16.150000,12.755426,664199500
2014-05-01,16.150000,16.559999,15.430000,16.440001,13.085946,504923500
2014-06-01,16.510000,17.350000,16.379999,17.240000,13.722730,558700700
2014-07-01,17.340000,18.120001,17.010000,17.020000,13.547615,618952400
2014-08-01,17.049999,17.520000,16.719999,17.410000,13.957348,420844900
2014-09-01,17.480000,17.870001,14.490000,14.790000,11.856931,655672700
2014-10-01,14.770000,14.830000,13.260000,14.090000,11.295753,910293700
2014-11-01,14.100000,15.840000,13.860000,15.730000,12.722828,602657400
2014-12-01,15.780000,16.129999,13.930000,15.500000,12.536799,593521500
2015-01-01,15.590000,15.650000,14.300000,14.710000,11.897824,595277100
2015-02-01,14.750000,16.620001,14.740000,16.340000,13.351072,524035300
2015-03-01,16.340000,16.740000,15.690000,16.139999,13.187656,609402200
2015-04-01,16.160000,16.160000,15.700000,15.800000,12.909850,539331600
2015-05-01,15.900000,15.940000,15.140000,15.170000,12.511951,428664100
2015-06-01,15.330000,15.660000,14.780000,15.010000,12.379987,578086200
2015-07-01,15.140000,15.300000,14.230000,14.830000,12.231525,672444200
2015-08-01,14.970000,15.040000,10.440000,13.870000,11.556625,595724500
2015-09-01,13.950000,14.880000,13.010000,13.570000,11.306661,743051900
2015-10-01,13.760000,15.840000,13.420000,14.810000,12.339842,668044800
2015-11-01,14.790000,14.900000,13.850000,14.330000,12.061407,443631700
2015-12-01,14.320000,14.620000,13.400000,14.090000,11.859402,587647300
2016-01-01,13.870000,14.000000,11.200000,11.940000,10.049768,1087386200
2016-02-01,11.920000,12.650000,11.020000,12.510000,10.659955,794892300
2016-03-01,13.010000,13.860000,12.720000,13.500000,11.503548,718477300
2016-04-01,13.280000,14.220000,12.390000,13.560000,11.554676,735860900
2016-05-01,13.670000,13.790000,13.020000,13.490000,11.621813,543316000
2016-06-01,13.430000,13.550000,12.000000,12.570000,10.829219,777581900
2016-07-01,12.880000,14.040000,12.210000,12.660000,10.906755,754715400
2016-08-01,12.610000,12.620000,11.900000,12.600000,10.974089,726421300
2016-09-01,12.660000,12.770000,11.930000,12.070000,10.512481,745942700
2016-10-01,12.060000,12.530000,11.600000,11.740000,10.225063,657501000
2016-11-01,11.780000,12.500000,11.070000,11.960000,10.546452,734791000
2016-12-01,12.230000,13.200000,12.080000,12.130000,10.696359,708798000
2017-01-01,12.200000,13.270000,12.130000,12.360000,10.899176,879175700
2017-02-01,12.450000,12.770000,12.220000,12.530000,11.182096,586138000
2017-03-01,12.660000,12.750000,11.410000,11.640000,10.387836,952495700
2017-04-01,11.640000,11.700000,11.080000,11.470000,10.236126,779636100
2017-05-01,11.490000,11.540000,10.670000,11.120000,10.057519,932923800
2017-06-01,11.250000,11.540000,10.910000,11.190000,10.120831,850514200
2017-07-01,11.360000,11.830000,10.950000,11.220000,10.147965,697037000
2017-08-01,11.110000,11.200000,10.470000,11.030000,10.104237,760037900
2017-09-01,11.180000,12.060000,11.140000,11.970000,10.965342,682274700
2017-10-01,12.000000,12.460000,11.870000,12.270000,11.240164,874278600
2017-11-01,12.400000,12.650000,11.870000,12.520000,11.611595,701585400
2017-12-01,12.620000,12.810000,12.280000,12.490000,11.583771,597327400
